artists,available_markets,disc_number,duration_ms,explicit,href,id,is_local,name,popularity,preview_url,track_number,type,uri,album.album_type,album.artists,album.available_markets,album.href,album.id,album.images,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,album.uri,album.external_urls.spotify,external_ids.isrc,external_urls.spotify,album_name
,,1,171800,TRUE,https://api.spotify.com/v1/tracks/37PJvlIfYWqEX6fgjHlnTf,37PJvlIfYWqEX6fgjHlnTf,FALSE,WTF Do I Know,58,NA,1,track,spotify:track:37PJvlIfYWqEX6fgjHlnTf,album,,,https://api.spotify.com/v1/albums/5BRhg6NSEZOj0BR6Iz56fR,5BRhg6NSEZOj0BR6Iz56fR,,Plastic Hearts,2020-11-27,day,15,album,spotify:album:5BRhg6NSEZOj0BR6Iz56fR,https://open.spotify.com/album/5BRhg6NSEZOj0BR6Iz56fR,USRC12003706,https://open.spotify.com/track/37PJvlIfYWqEX6fgjHlnTf,Plastic Hearts
,,1,205733,FALSE,https://api.spotify.com/v1/tracks/6qCsKKS7Ol63SJW3LOIX5R,6qCsKKS7Ol63SJW3LOIX5R,FALSE,Plastic Hearts,66,NA,2,track,spotify:track:6qCsKKS7Ol63SJW3LOIX5R,album,,,https://api.spotify.com/v1/albums/5BRhg6NSEZOj0BR6Iz56fR,5BRhg6NSEZOj0BR6Iz56fR,,Plastic Hearts,2020-11-27,day,15,album,spotify:album:5BRhg6NSEZOj0BR6Iz56fR,https://open.spotify.com/album/5BRhg6NSEZOj0BR6Iz56fR,USRC12003717,https://open.spotify.com/track/6qCsKKS7Ol63SJW3LOIX5R,Plastic Hearts
,,1,196453,FALSE,https://api.spotify.com/v1/tracks/1daDRI9ahBonbWD8YcxOIB,1daDRI9ahBonbWD8YcxOIB,FALSE,Angels Like You,82,NA,3,track,spotify:track:1daDRI9ahBonbWD8YcxOIB,album,,,https://api.spotify.com/v1/albums/5BRhg6NSEZOj0BR6Iz56fR,5BRhg6NSEZOj0BR6Iz56fR,,Plastic Hearts,2020-11-27,day,15,album,spotify:album:5BRhg6NSEZOj0BR6Iz56fR,https://open.spotify.com/album/5BRhg6NSEZOj0BR6Iz56fR,USRC12003754,https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB,Plastic Hearts
,,1,169333,FALSE,https://api.spotify.com/v1/tracks/2Oycxb8QbPkpHTo8ZrmG0B,2Oycxb8QbPkpHTo8ZrmG0B,FALSE,Prisoner (feat. Dua Lipa),74,NA,4,track,spotify:track:2Oycxb8QbPkpHTo8ZrmG0B,album,,,https://api.spotify.com/v1/albums/5BRhg6NSEZOj0BR6Iz56fR,5BRhg6NSEZOj0BR6Iz56fR,,Plastic Hearts,2020-11-27,day,15,album,spotify:album:5BRhg6NSEZOj0BR6Iz56fR,https://open.spotify.com/album/5BRhg6NSEZOj0BR6Iz56fR,USRC12003364,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B,Plastic Hearts
,,1,151720,FALSE,https://api.spotify.com/v1/tracks/4v8jmsVox8VwU5js3JHOJZ,4v8jmsVox8VwU5js3JHOJZ,FALSE,Gimme What I Want,58,NA,5,track,spotify:track:4v8jmsVox8VwU5js3JHOJZ,album,,,https://api.spotify.com/v1/albums/5BRhg6NSEZOj0BR6Iz56fR,5BRhg6NSEZOj0BR6Iz56fR,,Plastic Hearts,2020-11-27,day,15,album,spotify:album:5BRhg6NSEZOj0BR6Iz56fR,https://open.spotify.com/album/5BRhg6NSEZOj0BR6Iz56fR,USRC12003755,https://open.spotify.com/track/4v8jmsVox8VwU5js3JHOJZ,Plastic Hearts
,,1,189013,FALSE,https://api.spotify.com/v1/tracks/4U34WsyOvppOMnRfq7DuOy,4U34WsyOvppOMnRfq7DuOy,FALSE,Night Crawling (feat. Billy Idol),58,NA,6,track,spotify:track:4U34WsyOvppOMnRfq7DuOy,album,,,https://api.spotify.com/v1/albums/5BRhg6NSEZOj0BR6Iz56fR,5BRhg6NSEZOj0BR6Iz56fR,,Plastic Hearts,2020-11-27,day,15,album,spotify:album:5BRhg6NSEZOj0BR6Iz56fR,https://open.spotify.com/album/5BRhg6NSEZOj0BR6Iz56fR,USRC12003756,https://open.spotify.com/track/4U34WsyOvppOMnRfq7DuOy,Plastic Hearts
,,1,223280,FALSE,https://api.spotify.com/v1/tracks/4i2qxFEVVUi8yOYoxB8TCX,4i2qxFEVVUi8yOYoxB8TCX,FALSE,Midnight Sky,73,NA,7,track,spotify:track:4i2qxFEVVUi8yOYoxB8TCX,album,,,https://api.spotify.com/v1/albums/5BRhg6NSEZOj0BR6Iz56fR,5BRhg6NSEZOj0BR6Iz56fR,,Plastic Hearts,2020-11-27,day,15,album,spotify:album:5BRhg6NSEZOj0BR6Iz56fR,https://open.spotify.com/album/5BRhg6NSEZOj0BR6Iz56fR,USRC12002653,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX,Plastic Hearts
,,1,196760,FALSE,https://api.spotify.com/v1/tracks/2LseyBkPJv7r7wCt2yMEgX,2LseyBkPJv7r7wCt2yMEgX,FALSE,High,55,NA,8,track,spotify:track:2LseyBkPJv7r7wCt2yMEgX,album,,,https://api.spotify.com/v1/albums/5BRhg6NSEZOj0BR6Iz56fR,5BRhg6NSEZOj0BR6Iz56fR,,Plastic Hearts,2020-11-27,day,15,album,spotify:album:5BRhg6NSEZOj0BR6Iz56fR,https://open.spotify.com/album/5BRhg6NSEZOj0BR6Iz56fR,USRC12003757,https://open.spotify.com/track/2LseyBkPJv7r7wCt2yMEgX,Plastic Hearts
,,1,157800,FALSE,https://api.spotify.com/v1/tracks/0rFcav2bUNH6NC9576Viiu,0rFcav2bUNH6NC9576Viiu,FALSE,Hate Me,54,NA,9,track,spotify:track:0rFcav2bUNH6NC9576Viiu,album,,,https://api.spotify.com/v1/albums/5BRhg6NSEZOj0BR6Iz56fR,5BRhg6NSEZOj0BR6Iz56fR,,Plastic Hearts,2020-11-27,day,15,album,spotify:album:5BRhg6NSEZOj0BR6Iz56fR,https://open.spotify.com/album/5BRhg6NSEZOj0BR6Iz56fR,USRC12003758,https://open.spotify.com/track/0rFcav2bUNH6NC9576Viiu,Plastic Hearts
,,1,188200,TRUE,https://api.spotify.com/v1/tracks/47KegqqrzpKw0jdHFWqtNb,47KegqqrzpKw0jdHFWqtNb,FALSE,Bad Karma (feat. Joan Jett),54,NA,10,track,spotify:track:47KegqqrzpKw0jdHFWqtNb,album,,,https://api.spotify.com/v1/albums/5BRhg6NSEZOj0BR6Iz56fR,5BRhg6NSEZOj0BR6Iz56fR,,Plastic Hearts,2020-11-27,day,15,album,spotify:album:5BRhg6NSEZOj0BR6Iz56fR,https://open.spotify.com/album/5BRhg6NSEZOj0BR6Iz56fR,USRC12003759,https://open.spotify.com/track/47KegqqrzpKw0jdHFWqtNb,Plastic Hearts
